ID_marked,original_source_citation,specific_or_general,data_derivation_method
N-711,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-712,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-713,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-714,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-715,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-716,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-717,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-718,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-719,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-720,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-721,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-722,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-723,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-724,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-725,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-726,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-727,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-728,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-729,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-730,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-731,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-732,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-733,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-734,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-735,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-736,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-737,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-738,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-739,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-740,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-741,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-742,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-743,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-744,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-745,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-746,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-747,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-748,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-749,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-750,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-751,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-752,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-753,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-754,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-755,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-756,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-757,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-758,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-759,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-760,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-761,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-762,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-763,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-764,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-765,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-766,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-767,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-768,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-769,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-770,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-771,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-772,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-773,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-774,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-775,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-776,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-777,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-778,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-779,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-780,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-781,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-782,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-783,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-784,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-785,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-786,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-787,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-788,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-789,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-790,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-791,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-792,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-793,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-794,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-795,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-796,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-797,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-798,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-799,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-800,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-801,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-802,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-803,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-804,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-805,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-806,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-807,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-808,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-809,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-810,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-811,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-812,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-813,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-814,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-815,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-816,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-817,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-818,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-819,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-820,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-821,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-822,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-823,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-824,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-825,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-826,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-827,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-828,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-829,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-830,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-831,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-832,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-833,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-834,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-835,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-836,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-837,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-838,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-839,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-840,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-841,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-842,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-843,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-844,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-845,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-846,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-847,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-848,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-849,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-850,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-851,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-852,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-853,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-854,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-855,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-856,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-857,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-858,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-859,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-860,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-861,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-862,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-863,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-864,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-865,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-866,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-867,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-868,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-869,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-870,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-871,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-872,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-873,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-874,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-875,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-876,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-877,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-878,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-879,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-880,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-881,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-882,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-883,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-884,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-885,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-886,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-887,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-888,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-889,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-890,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-891,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-892,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-893,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-894,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-895,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
N-896,"Yang, D. et al. Urban buildings material intensity in China from 1949 to 2015. Resour. Conserv. Recycl. 159, 104824 (2020).",Specific,Construction bill of materials
